162,H2+,HCN,NAN,HCN+,H2,NAN,NAN,2.70E-09,-0.50,0.0,10,41000
163,H2+,HCO,NAN,HCO+,H2,NAN,NAN,1.00E-09,-0.50,0.0,10,41000
164,H2+,NH2,NAN,NH2+,H2,NAN,NAN,2.10E-09,-0.50,0.0,10,41000
165,H2+,NH3,NAN,NH3+,H2,NAN,NAN,5.70E-09,-0.50,0.0,10,41000
166,H2+,NH,NAN,NH+,H2,NAN,NAN,7.60E-10,-0.50,0.0,10,41000
167,H2+,NO,NAN,NO+,H2,NAN,NAN,1.10E-09,0.00,0.0,10,41000
168,H2+,O2,NAN,O2+,H2,NAN,NAN,8.00E-10,0.00,0.0,10,41000
169,H2+,OH,NAN,OH+,H2,NAN,NAN,7.60E-10,-0.50,0.0,10,41000
170,H2,HE+,NAN,HE,H2+,NAN,NAN,7.20E-15,0.00,0.0,10,300
171,H2CO+,S,NAN,S+,H2CO,NAN,NAN,5.50E-10,0.00,0.0,10,41000
172,H2CO,O2+,NAN,O2,H2CO+,NAN,NAN,2.07E-09,-0.50,0.0,10,41000
173,H2O+,C2,NAN,C2+,H2O,NAN,NAN,4.70E-10,0.00,0.0,10,41000
174,H2O+,C2H2,NAN,C2H2+,H2O,NAN,NAN,1.90E-09,0.00,0.0,10,41000
175,H2O+,C2H,NAN,C2H+,H2O,NAN,NAN,4.40E-10,0.00,0.0,10,41000
176,H2O+,H2CO,NAN,H2CO+,H2O,NAN,NAN,1.41E-09,-0.50,0.0,10,41000
177,H2O+,H2S,NAN,H2S+,H2O,NAN,NAN,9.72E-10,-0.50,0.0,10,41000
178,H2O+,HCO,NAN,HCO+,H2O,NAN,NAN,2.80E-10,-0.50,0.0,10,41000
179,H2O+,MG,NAN,MG+,H2O,NAN,NAN,2.20E-09,0.00,0.0,10,41000
180,H2O+,NO,NAN,NO+,H2O,NAN,NAN,2.70E-10,0.00,0.0,10,41000
181,H2O+,O2,NAN,O2+,H2O,NAN,NAN,4.60E-10,0.00,0.0,10,41000
182,H2O+,OCS,NAN,OCS+,H2O,NAN,NAN,2.50E-09,0.00,0.0,10,41000
183,H2O+,S,NAN,S+,H2O,NAN,NAN,4.30E-10,0.00,0.0,10,41000
184,H2O+,SI,NAN,SI+,H2O,NAN,NAN,3.00E-09,0.00,0.0,10,41000
185,H2O,CO+,NAN,CO,H2O+,NAN,NAN,1.72E-09,-0.50,0.0,10,41000
186,H2O,HCN+,NAN,HCN,H2O+,NAN,NAN,1.80E-09,-0.50,0.0,10,41000
187,H2O,N2+,NAN,N2,H2O+,NAN,NAN,2.30E-09,-0.50,0.0,10,41000
188,H2S,OCS+,NAN,H2S+,OCS,NAN,NAN,1.40E-09,-0.50,0.0,10,41000
189,H,CN+,NAN,CN,H+,NAN,NAN,6.40E-10,0.00,0.0,10,41000
190,H,CO+,NAN,CO,H+,NAN,NAN,7.50E-10,0.00,0.0,10,41000
191,H,H2+,NAN,H2,H+,NAN,NAN,6.40E-10,0.00,0.0,10,41000
192,H,HCN+,NAN,HCN,H+,NAN,NAN,3.70E-11,0.00,0.0,10,41000
193,H,HE+,NAN,HE,H+,NAN,NAN,1.20E-15,0.25,0.0,10,41000
194,H,O+,NAN,O,H+,NAN,NAN,5.66E-10,0.36,-8.6,10,41000
