 412 hno      crphot            no       h                  1.30e-17    0.00     500.0
 413 hs2      crphot            hs       s                  1.30e-17    0.00     750.0
 414 hs       crphot            s        h                  1.30e-17    0.00     250.0
 415 he       crphot            he+      e-                 1.30e-17    0.00       0.2
 416 mg       crphot            mg+      e-                 1.30e-17    0.00      66.5
 417 n2       crphot            n        n                  1.30e-17    0.00      25.0
 418 n        crphot            n+       e-                 1.30e-17    0.00       1.1
 419 nh2      crphot            nh2+     e-                 1.30e-17    0.00     324.5
 420 nh2      crphot            nh       h                  1.30e-17    0.00      40.0
 421 nh3      crphot            nh2      h                  1.30e-17    0.00     657.5
 422 nh3      crphot            nh3+     e-                 1.30e-17    0.00     288.0
 423 nh3      crphot            nh       h2                 1.30e-17    0.00     270.5
 424 nh       crphot            n        h                  1.30e-17    0.00     250.0
