!molecule
CH3CN
!molecular weight
41
!number of energy levels
251
!level + energies(cm^-1) + weight + J_K
192	51	46	1.687964E-03	275.910259	113.09
193	50	47	4.745478E-04	183.930825	112.85
194	49	45	1.081323E-03	239.119475	108.92
195	48	43	1.808637E-03	275.915582	105.94
196	47	44	3.398922E-04	165.540347	104.03
197	46	41	1.362334E-03	257.522426	99.85
198	45	40	8.420374E-04	220.730238	97.44
199	44	42	2.001096E-04	147.149047	96.08
200	43	38	1.467214E-03	257.527393	92.70
201	42	39	1.266149E-04	128.757015	89.02
202	41	35	1.081511E-03	239.133313	87.49
203	40	36	6.409291E-04	202.339905	86.85
204	39	37	7.360312E-05	110.364344	82.84
205	38	32	1.171705E-03	239.137925	80.34
206	37	34	3.775516E-05	91.971124	77.55
207	36	31	4.746851E-04	183.948566	77.14
208	35	30	8.421836E-04	220.743012	76.01
209	34	33	7.875622E-06	73.577448	73.13
210	32	28	9.187989E-04	220.747269	68.87
211	31	29	3.399905E-04	165.556314	68.31
212	30	27	6.410404E-04	202.351614	65.42
213	29	26	2.335287E-04	147.163239	60.36
214	28	25	7.051852E-04	202.355517	58.27
215	27	23	4.747676E-04	183.959211	55.71
216	26	24	1.519818E-04	128.769434	53.30
217	25	21	5.275500E-04	183.962759	48.56
218	24	22	9.203052E-05	110.374988	47.12
219	23	20	3.400496E-04	165.565894	46.88
220	22	19	5.035477E-05	91.979995	41.83
221	21	16	3.825779E-04	165.569088	39.73
222	20	17	2.335693E-04	147.171755	38.93
223	19	18	2.363370E-05	73.584544	37.41
224	18	15	4.273132E-06	55.188728	33.88
225	17	14	1.520082E-04	128.776885	31.87
226	16	13	2.669518E-04	147.174594	31.79
227	14	12	9.204650E-05	110.381375	25.69
228	13	11	1.773531E-04	128.779369	24.72
229	12	10	5.036352E-05	91.985317	20.39
230	11	9	1.104622E-04	110.383504	18.54
231	10	8	2.363781E-05	73.588802	15.98
232	9	6	6.295804E-05	91.987091	13.24
233	8	7	8.547748E-06	55.191921	12.44
234	7	5	1.772888E-06	36.794766	9.79
235	6	4	3.151890E-05	73.590221	8.83
