! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
  99   15    8 2.79e-11 2.49e-11 2.16e-11 1.98e-11 1.86e-11 1.80e-11 1.72e-11 1.72e-11 1.75e-11 1.79e-11 
 100   15    9 3.18e-11 2.95e-11 2.60e-11 2.36e-11 2.19e-11 2.07e-11 1.89e-11 1.82e-11 1.82e-11 1.84e-11 
 101   15   10 4.70e-11 4.51e-11 4.17e-11 3.94e-11 3.79e-11 3.69e-11 3.55e-11 3.51e-11 3.50e-11 3.50e-11 
 102   15   11 4.43e-11 4.57e-11 4.43e-11 4.22e-11 4.05e-11 3.92e-11 3.72e-11 3.67e-11 3.68e-11 3.73e-11 
 103   15   12 8.32e-11 8.31e-11 8.23e-11 8.10e-11 7.97e-11 7.84e-11 7.55e-11 7.36e-11 7.21e-11 7.09e-11 
 104   15   13 1.10e-10 1.09e-10 1.06e-10 1.03e-10 1.01e-10 1.00e-10 9.85e-11 9.84e-11 9.88e-11 9.94e-11 
 105   15   14 1.30e-10 1.33e-10 1.38e-10 1.44e-10 1.49e-10 1.53e-10 1.62e-10 1.68e-10 1.72e-10 1.75e-10 
 106   16    1 2.45e-13 2.38e-13 2.51e-13 2.75e-13 3.04e-13 3.34e-13 4.05e-13 4.56e-13 4.95e-13 5.26e-13 
 107   16    2 8.79e-13 8.38e-13 8.56e-13 9.16e-13 9.90e-13 1.07e-12 1.25e-12 1.38e-12 1.48e-12 1.55e-12 
 108   16    3 1.90e-12 1.77e-12 1.75e-12 1.82e-12 1.91e-12 2.02e-12 2.29e-12 2.49e-12 2.66e-12 2.80e-12 
 109   16    4 3.56e-12 3.26e-12 3.09e-12 3.10e-12 3.16e-12 3.24e-12 3.48e-12 3.67e-12 3.81e-12 3.93e-12 
 110   16    5 6.32e-12 5.66e-12 5.19e-12 5.03e-12 4.98e-12 4.99e-12 5.14e-12 5.33e-12 5.54e-12 5.76e-12 
 111   16    6 1.01e-11 8.96e-12 8.00e-12 7.55e-12 7.30e-12 7.15e-12 6.97e-12 6.94e-12 6.98e-12 7.05e-12 
 112   16    7 1.56e-11 1.37e-11 1.19e-11 1.10e-11 1.04e-11 1.01e-11 9.76e-12 9.82e-12 1.00e-11 1.03e-11 
 113   16    8 2.13e-11 1.87e-11 1.61e-11 1.46e-11 1.36e-11 1.29e-11 1.18e-11 1.14e-11 1.12e-11 1.13e-11 
 114   16    9 2.98e-11 2.66e-11 2.30e-11 2.10e-11 1.97e-11 1.89e-11 1.80e-11 1.80e-11 1.82e-11 1.85e-11 
 115   16   10 3.28e-11 3.04e-11 2.67e-11 2.42e-11 2.25e-11 2.12e-11 1.93e-11 1.86e-11 1.85e-11 1.87e-11 
 116   16   11 4.73e-11 4.60e-11 4.29e-11 4.05e-11 3.88e-11 3.77e-11 3.62e-11 3.57e-11 3.55e-11 3.55e-11 
 117   16   12 4.53e-11 4.61e-11 4.47e-11 4.27e-11 4.10e-11 3.97e-11 3.77e-11 3.72e-11 3.73e-11 3.77e-11 
 118   16   13 7.92e-11 8.10e-11 8.14e-11 8.04e-11 7.91e-11 7.78e-11 7.50e-11 7.31e-11 7.17e-11 7.05e-11 
 119   16   14 1.15e-10 1.13e-10 1.09e-10 1.06e-10 1.03e-10 1.02e-10 1.00e-10 9.96e-11 9.98e-11 1.00e-10 
 120   16   15 1.21e-10 1.26e-10 1.35e-10 1.42e-10 1.47e-10 1.52e-10 1.61e-10 1.67e-10 1.71e-10 1.73e-10 
 121   17    1 1.42e-13 1.43e-13 1.57e-13 1.78e-13 2.04e-13 2.30e-13 2.96e-13 3.46e-13 3.85e-13 4.15e-13 
 122   17    2 5.19e-13 5.11e-13 5.43e-13 6.03e-13 6.75e-13 7.50e-13 9.45e-13 1.09e-12 1.21e-12 1.31e-12 
 123   17    3 1.20e-12 1.15e-12 1.16e-12 1.23e-12 1.33e-12 1.43e-12 1.70e-12 1.90e-12 2.06e-12 2.19e-12 
 124   17    4 2.39e-12 2.23e-12 2.17e-12 2.22e-12 2.31e-12 2.42e-12 2.72e-12 2.97e-12 3.19e-12 3.38e-12 
 125   17    5 4.25e-12 3.90e-12 3.67e-12 3.62e-12 3.65e-12 3.71e-12 3.92e-12 4.11e-12 4.27e-12 4.42e-12 
 126   17    6 7.22e-12 6.52e-12 5.95e-12 5.71e-12 5.61e-12 5.57e-12 5.64e-12 5.81e-12 6.02e-12 6.25e-12 
 127   17    7 1.11e-11 9.96e-12 8.88e-12 8.32e-12 7.99e-12 7.77e-12 7.47e-12 7.38e-12 7.38e-12 7.45e-12 
 128   17    8 1.66e-11 1.48e-11 1.30e-11 1.19e-11 1.13e-11 1.09e-11 1.04e-11 1.04e-11 1.06e-11 1.09e-11 
 129   17    9 2.18e-11 1.95e-11 1.69e-11 1.53e-11 1.43e-11 1.35e-11 1.23e-11 1.18e-11 1.16e-11 1.16e-11 
 130   17   10 2.96e-11 2.73e-11 2.40e-11 2.20e-11 2.07e-11 1.98e-11 1.88e-11 1.87e-11 1.89e-11 1.92e-11 
 131   17   11 3.16e-11 2.99e-11 2.68e-11 2.45e-11 2.28e-11 2.16e-11 1.97e-11 1.90e-11 1.89e-11 1.91e-11 
 132   17   12 4.48e-11 4.52e-11 4.31e-11 4.11e-11 3.96e-11 3.86e-11 3.70e-11 3.65e-11 3.62e-11 3.62e-11 
 133   17   13 4.55e-11 4.57e-11 4.44e-11 4.27e-11 4.12e-11 4.00e-11 3.83e-11 3.78e-11 3.80e-11 3.84e-11 
 134   17   14 7.41e-11 7.78e-11 8.00e-11 7.97e-11 7.88e-11 7.78e-11 7.52e-11 7.33e-11 7.19e-11 7.07e-11 
